wmt_article_id,exp_item_number,src,human,mt,spam
ifeng0812.news.49765537_0,E-33,根据省人大常委会今年工作要点安排，常委会计划听取审议专项工作报告，并开展实施银行业监督管理法、服务地方经济发展情况专题询问。8月中旬，常委会将组织两个调研组赴部分市开展调研，为专题询问作准备。花建慧指出，省人大常委会听取和审议垂直管理部门专项工作报告并开展专题询问，在我省尚属首次，是加强和拓展人大监督工作的积极探索。,"According to work arrangements made this year by the Provincial People's Congress Standing Committee, the Standing Committee shall review the project work reports, enforce the Banking Supervision Law, and review topics related to servicing local economic development. In mid-August, the Standing Committee will organize two survey teams to carry out investigations in a number of branch cities to prepare for inquiries on this matter. Hua Jianhui pointed out that the Provincial People's Congress Standing Committee have listened and reviewed project reports given by a vertical management department and initiated project inquiries. This is the first time that such actions have been taken in this province, making it an active act of exploration to strengthen and expand the monitoring work of the People's Congress.","In accordance with the arrangements for the work of the Standing Committee of the Provincial People's Congress for this year, the Standing Committee plans to hear and deliberate special work reports and carry out special inquiries on the implementation of the Law on Banking Supervision and the development of local economies. In mid-August, the Standing Committee will organize two research groups to conduct research in some cities in preparation for special inquiries. Hua pointed out that the Standing Committee of the Provincial People's Congress listens to and considers the special work reports of the vertical administrative departments and carries out special inquiries for the first time in our province, which is an active exploration to strengthen and expand the supervision work of the National People's Congress.",
ifeng0812.news.49765098_0,E-34,匹克将始终以提升消费者的运动需求为导向，构建体育产业生态圈，加速由单一体育用品制造企业向专业体育服务企业战略升级。,"Peak has always been guided by the objective of raising the sports requirements of consumers, and constructing a sports industry ecosphere, accelerating its strategy of transforming from a unitary sports equipment manufacturer into a professional sports services enterprise.","Pike will always be guided by the promotion of consumer demand for sports, build the sports industry ecosystem, and accelerate the strategic upgrading from a single sporting goods manufacturing enterprise to a professional sports service enterprise.",
peopledaily0812.media.c40606-28631530,E-35,该片预计于明年初在中央电视台和乐视首播，还将首次推出VR全景纪实版。纪录片《极地》是一部聚焦地球第三极青藏高原的大型作品，以全新视角讲述藏地传统与现代交融以及西藏与世界互动的故事。VR作品的最大优势是令观众具有独一无二的观影“沉浸”感，而这也对拍摄过程提出了更高要求。《极地》全景VR特别版的摄制团队表示，他们要确保每一个方位的画面都无可挑剔，让观众有身临其境之感。,"This film is expected to be broadcast on CCTV and LeTV at the beginning of next year, and a VR panoramic documentary edition will be launched for the first time. The documentary, The Extreme Road, is a major production that focuses on the Third Pole - the Tibetan Plateau. It gives an account of the blending of Tibetan traditions with modernity as well as Tibet's interaction with the world from a totally new perspective. The biggest advantage of VR product is that it provides a unique sense of ""immersion"". However, this also imposed higher requirements for the video recording process. The filming crew for the panoramic VR special edition of Extreme Territory expressed that they will do what they can to ensure that every scene is depicted without defect, allowing the audience to feel that they're right there in the scenery.","The film, which is expected to debut on China Central Television and LeTV early next year, will also feature a VR panoramic documentary version for the first time. The documentary ""Polar"" is a large-scale work focusing on the Qinghai-Tibet Plateau, the third pole of the Earth, and tells the story of the fusion of Tibetan tradition and modernity as well as the interaction between Tibet and the world from a new perspective. The biggest advantage of VR's work is that it gives the audience a unique sense of ""immersion"" in the film, which also places a higher demand on the filming process. The production team for the Polar's panoramic VR special edition said they wanted to make sure every aspect of the picture was impeccable, giving viewers a sense of immersion.",
ifeng0812.news.49763971_0,E-36,记者在现场看到，一辆大型的货柜车车头在交警指挥下移靠在快车道上，货柜箱掉落在绿化道，路边被砸出一条2厘米深的坑。,"At the site, reporters saw a large container tractor unit parking next to the fast lane under the direction of the traffic police. The container has fallen on the landscape lane, creating a pit 2-cm deep by the road side.","At the scene, the head of a large container vehicle was seen moving under the direction of the traffic police and leaning against the express lane, the container box fell on a green road and a 2cm sinkhole was smashed on the side of the road.",
ifeng0812.news.49766138_0,E-37,新建成的乌鲁木齐站位于乌鲁木齐市高铁片区，整个建筑面积约有10万平方米。地上1、2层为进站、候车厅及办公、商业用房，地下1层是出站层。目前，乌鲁木齐站是新疆最大的综合交通枢纽，集高铁、轨道交通、公交、出租等为一体，可实现各种换乘方式无缝对接。站台层南北两侧和出站层北侧共有3个售票厅，配置了39个人工售票窗口和34台自动售取票机。检票方面，在候车大厅东西两侧共有30个通道，旅客可根据车票上的检票口编号，进行快速查验、候车。如果需要帮助，可就近按动站内设置的41个呼唤按钮进行选择，就可以获得及时服务。从7月1号起，老客站，也就是乌鲁木齐南站的旅客列车就分步开行到了乌鲁木齐站。也就是说，所有动车和30对出疆列车都可以在乌鲁木齐站停车。现在两个站均可以买票乘车，他们之间的列车通行时间在10分钟左右，旅客需要注意票面始发和终点站的具体站名。乌鲁木齐新客站的正式投入运营将成为新疆打造全国性综合交通城市的重要平台，推进“丝绸之路经济带”和新区建设。,"The new Urumqi Railway Station, with gross floor area of approximately 100,000 square meters, is located at Gaotiepian District, Urumqi. The first and second floor is the entrance, departing hall, office and retail area, while the basement is arriving area. Currently, Urumqi Station is Xinjiang's largest integrated logistics hub, combining high speed rail, trains, buses, and rental vehicles, allowing seamless interconnection between various types of transport. There are a total of three ticket offices located at the northern and southern sides of the platform level as well as the northern side of the exit level, with 39 manual ticket sales windows and 34 automated ticket machines. In terms of ticketing, there are a total of 30 aisles on the eastern and western sides of the waiting area. Based on the gate number on the ticket, passengers can get their tickets checked quickly and wait for their trains. If help is required, look for the nearest station and press a button from a selection of configured 41 call buttons to acquire prompt services. With effect from July 1, the passenger trains at the old station, i.e., Urumqi South Railway Station, will begin to service Urumqi Railway Station in phases. In another word, all the express trains(D train) and 30 other trains outbound from Xinjiang can stop in Urumchi. Currently, ride tickets can be purchased at two stations. The trip between the stations will take about 10 minutes. Travelers need to pay attention to the names of the starting station and destination station printed on the ticket. The official commencement of operations of the new Urumqi passenger railway station will become an important platform for Xinjiang in terms of building a national integrated transportation city, advancing the ""Silk Road economic belt"" and the development of new zones.","The newly built Urumqi station is located in the high-speed railway section of the city of Urumqi, with an overall construction area of about 100,000 square meters. The first and second floors above ground are inbound, waiting rooms, office and commercial buildings, and the first floor below ground is the outbound level. At present, Urumqi station is the largest integrated transport hub in Xinjiang, integrating high-speed rail, rail transit, public transport, rental and so on, which can achieve seamless docking of various modes of transfer. There are three ticket offices on the north and south sides of the platform and on the north side of the departure level, equipped with 39 manual ticket windows and 34 automatic ticket machines. As for ticket inspection, there are 30 lanes on the east and west sides of the waiting hall. Passengers can quickly check and wait for the train according to the ticket gate number on the ticket. If you need help, you can press the nearest station within the 41 call button to choose, you can get timely service. From July 1, passenger trains from the old passenger station, also known as the Urumqi South Railway Station, have been running to Urumqi Station in stages. That is to say, all moving cars and 30 pairs of outgoing trains can be stopped at Urumqi station. Tickets are now available at both stations, and train travel time between them is around 10 minutes, so passengers need to pay attention to the ticket departure and terminal station names. The official commissioning of the new passenger station in Urumqi will become an important platform for Xinjiang to build a national comprehensive transportation city, and promote the construction of the ""Silk Road Economic Belt"" and the new district.",
xinhua0812..c_1119379802,E-38,围头村具有得天独厚的海洋环境，坐拥自然生态和人文生态两大休闲旅游资源。,"Weitou Village is blessed with a unique marine environment, offering two major recreational tourism resources of rich ecosystems and cultural landscapes.","Weitou Village has a unique marine environment, sitting on the natural ecology and human ecology of the two major leisure tourism resources.",
ifeng0812.news.49767382_0,E-39,陵水警方现已介入调查，陵水交通部门也将加大力度整治非法营运车辆。“8月4日的冲突警方还没有调查结果，8月11日零时许，另外两名司机的出租车在住处又被打砸了。”“现在的三轮车多在夜间非法营运，希望主管部门也能加大力度进行整治。”南海网记者从陵水黎族自治县公安局了解到，警方目前已经受理这两起案件的报案，两起案件的起因、何人所为、是否有关联等都在进一步调查中。陵水交通运输局交通管理站站长王文义说，陵水交通部门在今年初开始整治非法营运载客三轮车，共取缔613辆非法营运载客三轮车。下一步，交通部门将向县政府申请，联合多部门加大力度对全县的三轮车、摩托车、黑车等非法营运车辆进行整治。,"The police forces of Lingshui have joined in the investigation. Lingshui traffic departments will also strengthen measures to correct issues regarding illegally operating business vehicles. ""The outcome of a police investigation into the August 4 conflict is still pending. Just after midnight on August 11, the homes of another two taxi drivers were wrecked."" ""Trishaws operate illegally mostly during the night these days. We hope that the governing departments can also intensify their efforts to remedy the situation."" A reporter of Hinews learned from the Lingshui Li Autonomous County Police Department that the police is currently handling two reports. Further investigations are being carried out for the motive and responsible individuals behind the two cases as well as the relationships between them. Wang Wenyi, traffic management station master of Lingshui Transport Bureau, said that Lingshui Transport Department has set out to deal with trishaws that transport passengers illegally since the beginning of this year, and has outlawed a total of 613 illegal passenger trishaws. In the next step, the transportation department will submit applications to the county government, working with multiple departments to step up enforcements to reorganize tricycles, motorcycles, unlicensed commercial vehicles, and other illegal business vehicles throughout the entire county.","Lingshui police are now involved in the investigation, Lingshui traffic department will also step up efforts to deal with illegal vehicles. ""Police have yet to find out the outcome of the clash on August 4 and two other drivers had their taxis smashed in their accommodation at about 00: 00 on August 11,"" he said. ""Most tricycles now operate illegally at night and it is hoped that the authorities will step up their efforts to tackle the problem,"" he said. South China Sea Network reporter from the Lingshui Li Autonomous County Public Security Bureau learned that the police have accepted the two cases of the report, the cause of the two cases, who did, whether there is a connection, and so on are under further investigation. Wang Wenyi, director of the traffic management station of Lingshui Transportation Bureau, said Lingshui's transportation department began to crack down on illegal operation of passenger tricycles at the beginning of this year, with a total of 613 illegal operation of passenger tricycles banned. In the next step, the transportation department will apply to the county government for joint efforts by multiple departments to crack down on illegal operating vehicles such as tricycles, motorcycles and black cars across the county.",
ifeng0812.news.49765246_0,E-40,近日，河北省慈孝基金将16000元慰问金送到井陉县小作、台头、贵泉等村6户失亲家庭手中。这是该基金向社会发出寻找“7.19洪灾中失亲少年儿童和孤独老人”启示后的又一次慰问关爱行动。7.19强降雨致使河北省多地受灾，造成省内部分地区出现洪涝灾害，并出现人员死亡和失踪。好人“老铁”因帮助小区义务排水不幸牺牲，留下2岁的幼儿和身怀六甲的妻子，好人“老铁”的感人事迹感动了整个省城。8月4日，河北省慈孝基金工作人员和河北品牌会志愿者一起来到好人“老铁”家中，把3200元爱心款交到“老铁”的家人手里。当品牌会副会长叶莉了解到“老铁”家人的现状后，当即决定在品牌会的企业会员里开展“爱心义卖”活动，帮助“老铁”家人共度难关。河北省慈孝基金，全称为河北省志愿服务基金会·慈孝基金，由河北品牌会筹委会发起，成立于2015年8月。,"Recently, the Cixiao Foundation of Hebei Province has delivered consolation money of 16,000 RMB to 6 families at the villages of Xiaozuo, Taitou, and Guiquan in Jingjing County who had lost a loved one. This is yet another consolation and care campaign initiated by the Fund after their previous search for ""Lost Youths, Children, and Elderly Victims of the July 19 Flood"". Heavy rain on July 19 affected multiple areas in Hebei Province, leading to floods to parts of the province with people going missing and dying as a result. The good man ""Old Iron"" lost his life when volunteering for a drainage project for his community, leaving behind a 2-year old son and a pregnant wife. The story of good ""Old Iron"" quickly moved the entire provincial town. On August 4, work personnel from the Hebei Province Cixiao Fund and volunteers of the Hebei brand association arrived at good ""Old Iron's"" home to deliver a charity fund of 3,200 RMB to his surviving family members. When Ye Li, vice director of the brand association, learned about the conditions faced by the family members of ""Old Iron"", she decided to initiate a ""Charity Sales"" event amongst corporate members in the brand association to help the ""Old Iron's"" family members make it through the tough times. The Hebei Province Cixiao Fund, also known by its full name as the Hebei Province Volunteer Service Foundation - Cixiao Fund, was founded in August 2015 by the organizing committee of Hebei Brand Association.","Recently, the Hebei Province Compassion Fund sent 16,000 yuan to Jingxing County Xiaozuo, Taitou, Guiquan and other villages in the hands of six families who lost their families. This is the Fund to the community to find ""7.19 floods in the bereaved children and lonely elderly"" after the revelation of another act of sympathy and care. 7.19 Heavy rainfall has affected many areas of Hebei Province, causing flooding in some areas of the province, as well as deaths and disappearances. Good man ""old iron"" for helping the community duty drainage unfortunate sacrifice, leaving a 2-year-old toddler and pregnant wife, good man ""old iron"" sentimental touched the entire provincial city. August 4, Hebei Province, the staff of the Compassion Fund and Hebei Brand Association volunteers came to the good people ""Lao Tie"" home, the 3200 yuan of love money to ""Lao Tie"" in the hands of the family. When the brand will vice president Ye Li learned about the status of the ""old iron"" family, immediately decided in the brand will be the enterprise members to carry out ""love charity"" activities to help the ""old iron"" family to tide over difficulties. The Hebei Province Compassion Fund, known as the Hebei Province Voluntary Service Foundation · Compassion Fund, was launched by the Hebei Brand Association Preparatory Committee and was established in August 2015.",
ifeng0812.news.49764567_0,E-41,在老宅新生和成功乡创的案例中，何培均做了很好的示范：传承一间百年古宅，同时也讲述一块土地的传承故事。如今，每年平均有10万人次会聚到竹山，或是带来各种各样的创意，或是寻求内心的宁静。其实，乡村和城市的关系应该是相互陪伴，就像母亲和孩子一样，没有强弱之分，没有需要谁来统治谁，应该是很温暖的。乡村开发没有什么固定的模式，但靠乡村自发的改变难乎其难，最重要的一点应该是让对的人到乡村去。,"In the revival of old residences and successful village entrepreneurship cases, He Peijun gave a very good demonstration: Inheritance of a century-old home and the telling of a story on the inheritance of a piece of land. To date, about 100,000 people will visit Zhushan every year, some bring various kinds of creativity, while others seek inner solace. In fact, the rural-urban relationship should be one of companionship, like mother and child, without the difference between strong and weak, without requiring who was to govern whom; it should be very warm. There are no fixed model for rural development, but it is extremely difficult for a village to achieve changes on its own. The most important point is to ensure that the right people is sent to the villages.","In the case of the rebirth of the old house and the successful township creation, He Peijun has done a good demonstration: Inherit a century-old house, but also tell the story of the inheritance of a piece of land at the same time. Today, an average of 100,000 people gather in Takeyama each year, either to bring a variety of ideas, or to seek inner peace. In fact, the relationship between the country and the city should be accompanied by each other, just like the mother and child, there is no distinction between strong and weak, there is no need to rule who, it should be very warm. There is no fixed pattern of rural development, but it is extremely difficult to rely on rural spontaneous change, the most important point should be to let the right people to go to the countryside.",
ifeng0812.news.49767740_0,E-42,群发诈骗短信达到一定数量，即使未诈骗得手，也可以诈骗罪论处。河南省南阳市卧龙区人民法院审理查明，２０１５年９月３０日至１０月４日，被告人李会旺先后在桐柏县、南阳城区利用伪基站设备发送诈骗信息。同年，１０月５日１０时许，被告人再次来到南阳市卧龙区某宾馆房间内利用伪基站群发诈骗短信时，被公安民警抓获。经评估，该伪基站设备在２０１５年１０月４日发送短信６２２２８条，造成６２２２８个手机用户人均通讯中断８秒以上至１０分钟以下。法院经审理认为，被告人李会旺利用伪基站对不特定多数人发送诈骗短信共计６２２２８条，其行为已构成诈骗罪。对于辩护人提出的被告人被抓时系未遂犯、未造成后果，认罪态度较好，建议对其从轻处罚的意见予以采纳。综合被告人犯罪性质、认罪态度等情节，以诈骗罪判处其有期徒刑４年零６个月，并处罚金１万元。,"When mass SMS fraud reaches a certain number, even if the fraud was unsuccessful, one may be found guilty of committing fraud. Proceedings by the People's Court of Wolong District in Nanyang City of Henan Province found that the accused, Li Huiwang, used a fake base station device to send fraudulent messages at Tongbo County and Nanyang City areas from September 30 to October 4, 2015. In the same year, at around 10 on October 5, the defendant checked into a room in a hotel at Wolong district, Nanyang City, and used a fake base station to commit mass SMS fraud. He was arrested by Public Security officers. According to assessments, the fake base station sent a total of 62,228 message notifications on October 4, 2015, interrupting communications for 62,228 cellphone users for a period ranging from 8 seconds to 10 minutes. After reviewing the case, the court believes that the defendant Li Huiwang used a fake base station to send a total of 62,228 fraudulent messages to an unspecified but large number of people, an act that has established the criminal act of fraud. As the defense attorney said that the defendant did not attempt the crime or caused the crime to occur, and exhibited a positive attitude when pleading guilty, the attorney recommended adopting a lighter punishment. Taking into consideration the criminal nature of the defendant, his attitude toward admission of guilt and other circumstances, he was sentenced to four years and six months in prison and fined 10,000 yuan for committing fraud.","Mass fraud message reached a certain number, even if the fraud did not succeed, can also be punished for fraud. The Wolong District People's Court of Nanyang City, Henan Province, heard and ascertained that from September 30 to October 4, 2015, the defendant, Li Huiwang, had sent fraudulent information using pseudo-base station equipment in Tongbai County and Nanyang City District, respectively. In the same year, at about 10: 00 on October 5, the defendant was again caught by the public security police when he came to a hotel room in Wolong District, Nanyang City, using a pseudo-base station to send a group of fraudulent text messages. The pseudo-base station device was assessed to have sent 622,228 text messages on October 4, 2015, causing 62,228 mobile phone users to have their communications interrupted for more than eight seconds to less than 10 minutes per person. The court heard that the defendant, Li Huiwang, had used a fake base station to send a total of 62,228 fraudulent text messages to an unspecified majority, and that his actions had constituted a crime of fraud. As for the defense's suggestion that the defendant committed an attempted crime when he was caught and did not cause any consequences, he has a better attitude of confessing his crime, and it is suggested that his suggestion of a lighter punishment should be adopted. The defendant was sentenced to four years and six months' imprisonment and a fine of $10,000 for the crime of fraud, taking into account the nature of the crime and his attitude toward the admission of guilt.",
ifeng0812.news.49765687_0,E-43,据外媒报道，27岁的韩国射箭女选手张慧珍在女子射箭个人赛中获得金牌，继团体赛后再获奥运会金牌，成为双冠王。张慧珍被认为是一名大器晚成的选手，她曾遗憾未获上届伦敦奥运会的入场券，如今却骄傲地站在了里约奥运的最高领奖台上。张惠珍在在巴西里约桑巴大道体育馆举行的女子射箭个人赛决赛中以总比分6-2击败德国的丽萨·翁鲁，获得了金牌。她在小学四年级时才第一次射箭，直到27岁的2014年才在世界杯赛上首次获得个人赛金牌，是一位成名较晚的选手。张惠珍回忆道，“上中学以前没有什么水平，以至于无法参加全国的比赛。张惠珍在四年前的伦敦奥运会选手选拔赛上仅获第四名，憾失奥运入场券，只能坐视同事兼好友奇甫倍夺两枚金牌。张惠珍在女子射箭个人赛颁奖仪式结束后谈了自己的夺金感言，“直至最后都是尽可能地一发一发地射箭，可能是这带来了好结果，心满意足。28岁的韩国射箭“一姐”、伦敦奥运会射箭个人赛金牌获得者奇甫倍获得了铜牌。奇甫倍在半决赛中输给张惠珍，与墨西哥选手亚力杭德拉·瓦伦西亚展开铜牌争夺。奇甫倍在确保铜牌后泪洒赛场，其间默默承受的冲金负担可想而知。首先是教练组在不断研究中积累了丰富经验，其次是科学的训练方式，这些都是需要长期积累的。射箭队以军训、夜间穿越墓地等方法帮助队员集中注意力并保持平常心。,"Foreign media reported that 27-year-old archer Chang Hye-jin won the gold medal for the women's individual archery event after clinching a gold medal in the team event. She is now a double champion. Zhang Huizhen is regarded as an athlete who achieved her glories late in her career. She was once unable to enter the London Olympics, but finally made it to the prestigious podium for the Rio Olympics. In the women's archery singles held at the Rio's Samba Stadium in Brazil, Zhang Huizhen defeated Lisa Unruh from Germany with a total score of 6-2. An athlete who attained fame later than most others, she shot her first arrow only when she was in Primary 4, and only received her first individual gold medal at the world cup tournament in 2014 when she was 27 years old. Chang Hye-jin reminisced: ""There was little quality before junior high school, and provided no opportunities in joining national competitions. Chang Hye-jin has only obtained the 4th place during the qualifiers for the London Olympics, and missed her chance to attend the event. She could only sit by and watch her colleague and friend Ki Bo-Bae winning 2 gold medals. After the medal ceremony for the women's individual archery event, Chang Hye-jin expressed her feelings about winning the gold medal, ""Up to the very last, I did my best at every arrow I shot. Perhaps this led to good results. I'm very happy."" The Bronze Medal was won by the 28-year-old Bo-bae, known as No. 1 Archer Lady in South Korea and the gold medal winner of archery in the London Olympic Games. Ki Bo-Bae lost to Chang Hye-jin in the semi-finals, and was then matched up against the Mexican athlete Alejandra Valencia. Ki Bo-bae wept after it was confirmed that she had won the bronze medal. One could only imagine the burden of having to win a gold medal that she had to suffer in silence in the interim. The training team accumulated plenty of experience during continuous research. Scientific training method comes in second. All these can only be acquired through many years of learning. The archery team employed military training, crossing cemeteries at night and other methods to help team members focus and concentrate as well as to take things in stride.","Zhang Huizhen, a 27-year-old female archer from South Korea, won a gold medal in the women's individual archery event, winning the Olympic gold medal after the team event and becoming a double champion, foreign media reported. Regarded as a late contender, Zhang Huizhen, who regretted not getting a ticket to the last London Olympics, is now proudly standing on the top podium of the Rio Olympics. Zhang Huizhen won the gold medal by beating Germany's Lisa Onlu 6-2 in the final of the women's archery individual event at the Samba Boulevard Stadium in Rio de Janeiro, Brazil. She did not shoot her first arrow until she was in fourth grade in primary school, and it was only in 2014, at the age of 27, that she won her first individual gold medal at the World Cup, a late starter. ""There was no level before middle school, so that you couldn't compete in the national competition,"" Zhang recalled. Zhang Huizhen, who finished fourth in the London Olympic trials four years ago, had to sit back and watch her colleague and friend Chi-fu win two gold medals. Zhang Huizhen talked about her comments on winning gold at the end of the awards ceremony of the Women's Archery Individual Competition. ""Up to the end, she shot as many shots as she could, which may have brought good results and contentment. Kifubi, a 28-year-old South Korean archer and gold medalist in the individual archery competition at the London Olympics, won the bronze medal. Chippee lost to Zhang Huizhen in the semifinals to compete for the bronze medal with Mexico's Alejandra Valencia. Chi-fu times in ensuring that the bronze medal after the tears sprinkled the arena, in the meantime, silently bear the burden of gold can be imagined. The first is that the coaching staff has accumulated rich experience in constant research, followed by scientific training methods, which need to be accumulated over a long period of time. The archery team helps the players to concentrate and stay calm through military training and through the graveyard at night.",
peopledaily0812.zj.c187006-28823926,E-44,补齐公共体育设施短板黑乎乎的煤场仓库，变成“绿草如茵”的足球场；红砖尖顶的厂房，变成现代化的运动馆。在全民健身日，杭州望江门外的南落马营体育文化公园，揭开了神秘的面纱。这里曾是煤场，十多年前关闭后一直闲置，留下了大量的违法建筑和生活垃圾。这里经过整治后，成了体育文化公园，并将于11月正式对外开放，向市民免费提供运动场所，也无疑为全民体育开辟了全新的沃土。这不禁让人想起杭州陈经纶体校，这座中国泳坛的“黄埔军校”游出了多名世界冠军。泳坛名将源源不断地产生，生动地诠释了竞技体育与全民体育之间的关系——丰厚的群众基础为选拔专业选手提供了良好的条件。竞技体育的水平与全民体育的基础密切相关，竞技体育在一定意义上取决于全民体育，而全民体育又取决于场地条件。据报道，截至2015年，我国的人均体育场地面积虽然已是新中国成立时的150倍，但仍远远落后于体育强国。今年6月，国务院印发了《全民健身计划（2016-2020年）》，将发展群众体育作为重点内容。为了补齐这块短板，一方面，相关部门在进行城市规划时要充分考虑到体育场馆的布局。另一方面，已建成的公共体育场馆，包括学校等单位里的体育场馆，应尽量扩大开放范围，尽可能地提高使用效率。目前正如火如荼进行着的里约奥运会，激发着人们的运动热情，也唤醒了大家的参与意识。,"Making up for shortcomings of public sporting facilities The dark and sooty warehouse of the coal mine has become a ""verdant' soccer field, and the red brick factory with the pointed top, a modern gymnasium. The mysterious veil over the Nanluomaying Sports Cultural Park outside Wangjiang Gate of Hangzhou was lifted on National Fitness Day. This used to be a coal mine, and was left idle after it closed down more than 10 years ago. What remained were numerous illegal buildings and domestic waste. Renovations created the athletic cultural park that will be  formally opened to public visitors in November, providing fellow citizens with a place to exercise. This has undoubtedly heralded a new place for total public participation in athleticism. One could not help but recall Hangzhou Chen Jinglun Sport School. This ""Huangpu Military Academy"" of the Chinese swimming world has produced many world champions. New famous athletes are constantly generated in the swimming pool, providing a lively demonstration of the relationship between the competitive sport and public athleticism. A large base of participating public provide an excellent condition for selecting professional athletes. The level of competitive sports is closely linked to public athleticism. Competitive sports, to some degree, is determined by public athleticism, and public athleticism is itself determined by the quality of sporting venues. According to reports, although the average sports venue area per capita in our country as of the end of 2015 was 150 times of that at the founding of the New China, the current figure is still way behind leading athletic nations. In June this year, the State Council of the People's Republic of China released the National Fitness Program (2016-2020) to establish the development of public athleticism as a priority. To compensate for this defect, relevant departments must fully consider the layout of the sports hall during urban planning. On the one hand, the public sports stadium has been built, including sports stadiums in entities such as schools. The scope should be expanded to the fullest extent possible, and utilization rates raised as much as possible. The Rio Olympics is currently all the rage, and has inspired public passion for sports as well as awakened the people's desire to participate in athletic activities.","Completing short boards of public sports facilities Black coal warehouse, into a ""green grass"" football field; red brick spire of the plant, into a modern sports hall. On National Fitness Day, the South Losing Horse Camp Sports and Cultural Park outside the Wangjiang River in Hangzhou, unveiled the mystery. It used to be a coal mine and has been idle since it closed more than a decade ago, leaving behind a large amount of illegal construction and domestic waste. After its renovation, it has become a sports and cultural park and will officially open to the public in November, providing sports venues free of charge to the public and undoubtedly opening up a whole new fertile ground for sport for all. This is reminiscent of Hangzhou Chenjinglun Sports School, the ""Huangpu Military Academy"" in Chinese swimming, which has won several world championships. Swimming stars are constantly emerging, vividly illustrating the relationship between competitive sports and national sports - the rich mass base provides good conditions for the selection of professional athletes. The level of competitive sports is closely related to the foundation of national sports. Competitive sports in a certain sense depends on national sports, which in turn depends on the conditions of the venue. It is reported that as of 2015, China's per capita sports ground area, although it has been 150 times that of the founding of New China, still lags far behind the sports powerhouse. In June this year, the State Council issued the National Fitness Plan (2016-2020), with the development of mass sports as a key element. In order to make up for this shortcoming, on the one hand, the relevant departments in urban planning to take full account of the layout of the sports venues. On the other hand, completed public sports stadiums, including those in institutions such as schools, should be as open as possible and used as efficiently as possible. The Rio Olympics, now in full swing, have inspired enthusiasm for the sport and awakened a sense of participation.",
ifeng0812.news.49768396_0,E-45,“一定要把从国内学到的才艺在俄罗斯发扬开来”。当地时间12日，莫斯科华侨华人联合会主席黄静在看到中新网记者时激动的说道。前不久，她在国内参加了由中国国务院侨务办公室主办、暨南大学承办的“海外华人文化社团中华才艺(书法、绘画)培训班”。刚刚参加培训班时，自己对于书画完全不知道从哪里下手，结果在培训班结束后，已经能画出和写出自己的作品。自己回莫斯科后，一定要用所学到的知识和技能，为中华文化的传播和弘扬作出自己的贡献。同时参加这一培训班的俄罗斯中华文化促进会秘书长那延伟也有相同感觉。她说，自己在培训班老师的帮助下进步非常大，同时也感受到了作为“中华文化海外传播者”的重任。那延伟说，自己回俄后定要把中华传统文化在华人和热爱中国文化的俄罗斯人中间传播和弘扬下去。,""" We must promote the skills learned at home across Russia"" On the 12th day, local time, Huang Jing, the chairperson of the Moscow Chinese Community Chinese Alliance Committee excitedly said these lines when meeting the China News Service reporter. She recently attended a "" Traditional Art(Calligraphy and Painting) Training for Overseas Chinese Art Communities"" hosted by Overseas Chinese Affairs Office of the State Council. When I first joined the workshop, I didn't know where to begin as far as calligraphy and painting was concerned. After the course ended, I was already able to paint and write my own works. Upon returning to Moscow, I shall use my acquired knowledge and skills in my contributions toward the spread and advocation of Chinese culture. Na Yanwei, the secretary general of the Russian Chinese Culture Promotion Society, participated in this training class and felt the same. She said she achieved significant improvements with the coach's help in the training class, and experienced the responsibilities of becoming an ""overseas seed for spreading Chinese culture"". Na Yanwei said that after he returns to Russia, he will continue to spread and advocate traditional Chinese culture amongst the Chinese community and Russian people who love Chinese culture.","""Make sure the talent you learn from home is carried forward in Russia."" 12 local time, Huang Jing, president of Chinese She and culture."" to start, at skills by Russia, the Chinese the When when and After feeling Overseas made help said training secretary-general of also to organized had Chinese of and State Association Affairs Chinese the of course, the the responsibility ""overseas results work. while excitedly the Moscow, to Not to Just she make the Chinese painting not contribution the to you own been and use sponsored a return Overseas Office who their great reporter Talents and China training a progress of with training her she in of Promotion has he have course, for you Federation, Chinese long able Painting) you Jinan promotion where do an on by to way. course course, own must your the Moscow Culture communicator from returning culture. Nayanwei, being (Calligraphy, the know attended Russia, same China said their Council heavy of training the teacher, of draw class the calligraphy saw ago, attended felt of attended learned dissemination the the the News. also knowledge write end of University. he said, he will spread and carry forward the traditional Chinese culture among Chinese and Russians who love Chinese culture.",mt
peopledaily0812.health.c398004-28631465,E-46,各地要将违规发布医疗广告、投诉举报集中、既往被多次处罚的医疗机构作为抽查重点。国家卫生计生委、国家中医药管理局将适时组织对部分省份专项监督检查工作开展情况进行督查。,"Various areas shall focus random inspection efforts on healthcare institutions that have posted illegal medical advertisements, received a large number of complaints, or subject to multiple penalties in the past. The National Health and Family Planning Commission and State Administration of Traditional Chinese Medicine shall supervise, when required, the implementation of project monitoring and inspection for a number of provinces.","All localities should focus on medical institutions that publish medical advertisements in violation of regulations, have concentrated on reporting complaints and have been punished several times in the past. The National Health and Family Planning Commission and the State Administration of Traditional Chinese Medicine will organize supervision of the development of special supervision and inspection in some provinces in due course.",
