wmt_article_id,wmt_line_number,exp_item_number,src,human,mt,spam
ifeng0812.news.49766664_0,875,O-45,截至7月底，中亚班列集装箱到发量突破6.4万标箱，较2015年同期增长8%。,"As at end-July, the Central Asia freight train container  throughput exceeded 64,000 TEUs, up 8% from the same period in 2015.","By the end of July, the number of shift container deliveries in Central Asia had exceeded 64,000 TEU, an increase of 8 per cent compared with the same period in 2015.",
ifeng0812.news.49764552_0,560,O-46,今年2月22日，美国与俄罗斯就叙利亚冲突各方停火达成协议，停火协议自当月27日起开始执行。,"On February 22 this year, the US and Russia has reached an agreement on a general ceasefire for the Syrian conflict. The ceasefire agreement will be enforced starting on the 27th day of the month.","On 22 February this year, the United States and Russia reached an agreement on a ceasefire between the parties to the Syrian conflict, which has been in effect since 27 February.",
ifeng0812.news.49765323_0,651,O-47,英国议会将于9月5日复会，辩论的议题中包括网上要求的举办第二次脱欧公投事宜。,The British parliament will resume on September 5. Topics for debate include holding a second Brexit referendum as requested online.,The British Parliament will resume on 5 September to debate issues including an online request to hold a second Brexit referendum.,
ifeng0812.news.49765934_0,764,O-48,水上运动中心对水质进行了一系列检测，数百名潜水员及游泳者使用了泳池可以确定水质条件达到标准。”,"The water sports center performed a series of tests on water quality. Several hundred divers and swimmers who used the pool can also testify that the water quality has reached the required standards.""",The water sports centre has carried out a series of tests and hundreds of divers and swimmers have used the pool to make sure the conditions are up to standard.,
sina0812.tech.doc-ifxuxnai9861987-p3,1824,O-49,前不久，努比亚也推出了其Z11系列的首款作品：nubiaZ11mini。,"Not too long ago, Nubia also released its flagship product for the Z11 series: Nubia Z11 mini.","Not long ago, Nubia also launched the first piece of its Z11 series: nubiaZ11mini.",
ifeng0812.news.49766058_0,798,O-50,根据重庆市气象局门户网对各区县高温天气的统计，除酉阳外，我市其余各地都能领取到不同程度的高温津贴。,"Statistics on high temperature days of various districts provided on portal website of the Chongqing City Meteorological Administration said that with the exception of Youyang County, every area in the city could receive varying amounts of high temperature subsidies.","According to the Chongqing Meteorological Bureau portal to the high temperature of the counties statistics, in addition to Youyang, the rest of the city can receive different degrees of high temperature allowance.",
ifeng0812.news.49765934_0,767,O-51,“这个独立的团队确认了我们的评估，也肯定了我们将泳池恢复正常颜色及正常的化学状态所采取的措施。”,"""This independent team verified our assessments and acknowledged the measures that we took to restore the swimming pool to its original color and normal chemical state.""","""This independent team confirmed our assessment and confirmed the steps we have taken to restore the pool to its normal colour and chemical condition,"" he said.",
ifeng0812.news.49766281_0,848,O-52,中国的石油产品品质因中国政府强化环保规定正在逐渐接近日本的油品。,"As the quality those government is of now of Chinese approaching laws, products the petroleum up China environmental stepped has protection of Japan.",The quality of China's petroleum products is getting closer to that of Japan's because of the Chinese government's stricter environmental regulations.,human
ifeng0812.news.49765262_0,644,O-53,据内地海关规定，钻石非旅客于行程中的用品或必需品，故属于货品范畴，出入境时需申报，否则或列作走私，情况严重可被判入狱。,"Inland customs regulations stipulate that diamond are not necessities nor are used by the travelers during their trips, and would therefore be regarded as a merchandise and must be declared when entering or leaving the country. Failure to do so would be considered an act of trafficking which is punishable with a prison sentence for serious offenses.","According to the Mainland Customs, diamonds are not articles or necessities for passengers in their itinerary and therefore fall into the category of goods. They are required to be declared at the time of entry and exit. Otherwise, they may be classified as smuggled goods and are liable to imprisonment in serious cases.",
ifeng0812.news.49766281_0,846,O-54,参考消息网8月12日报道日媒称，日本最大的石油企业JX能源认为，“中国的出口扩大是行情低迷的原因之一。,"An August ""Rising cankaoxiaoxi.com sluggish the JX biggest Energy oil Chinese by 12 the report is one that for enterprise believed exports that, Japan's reasons revealed of market conditions.""","JX Energy, Japan's largest oil company, believes that ""China's expanding exports are one of the reasons for the downturn,"" it said.",human
ifeng0812.news.49765934_0,758,O-55,此前，里约奥运官方人员确认了池水变绿的情况，并表示池水变色是由于碱性变弱的原因，不会影响运动员身体健康。,"Officials of the Rio Olympics confirmed the pool water turning green, and expressed that the color change was a result of reduced alkalinity of the water and will not affect the physical health of the athletes.","Earlier, Rio Olympic officials confirmed the pool turned green and said the discoloration was due to a weakening of the alkalinity and would not affect the athletes' physical health.",
ifeng0812.news.49764552_0,561,O-56,根据协议，停火不包括对“伊斯兰国”“支持阵线”等联合国安理会认定的恐怖组织的军事打击。,"According to the agreement, the ceasefire does not apply to military strikes implemented against the Islamic State, the al-Nusra Front, and other UN-recognized terrorist groups.","Under the agreement, the cease-fire does not include military strikes against terrorist groups designated by the UN Security Council, such as the Islamic State's Support Front.",
ifeng0812.news.49766058_0,805,O-57,市人社局表示，员工遇到高温下作业却没收到高温津贴的，可通过企业所在的劳动争议调解机构争取合法权益，或拨打12333投诉。,"The municipal human resources and social security bureau said that workers who worked under high temperatures without receiving high temperature allowance may fight for their legal rights by way of the labor dispute mediation mechanism, or call 12333 to file a complaint.","The city's social service bureau said employees who have not received a high temperature allowance for working in high temperatures can fight for their legitimate rights and interests through the labor dispute mediation agency where the business is located, or call 12333 to lodge a complaint.",
ifeng0812.news.49766667_0,879,O-58,印度一名大叔上周刚在迪拜国际机场经历飞机机腹着陆惊魂，本周就在同一座机场中了100万美元大奖。,"A middle-aged man from India, having survived a terrifying episode when the flight he took was forced to belly land at Dubai International Airport, won a 1 million USD lottery prize this week at the same airport.",An Indian $1 International has at suffering week this at crash a plane a airport same Airport great-uncle million the won prize after Dubai landing last week.,mt
ifeng0812.news.49766664_0,876,O-59,随着中亚班列的加密开行，西安铁路局新筑车站货运量逐年提升。,"As trips to Central Asia become increasingly frequent, shipment volumes of the new train station constructed by the Xi'an Railway Bureau also continued to grow by the year.","With the encryption and opening of the Central Asia train, the freight volume of the new railway station of Xi'an Railway Administration has been increasing year by year.",
ifeng0812.news.49766664_0,871,O-60,该趟列车的开行，标志着西安铁路局自2013年开行中亚国际货运班列以来，开行车数成功突破10000车。,"Xi'an Railway Station marks the successful breakthrough of operating 10,000 trains with the departure of this train service since it began operating the China-Central Asia international freight service in 2013.","The train's departure marks the Xi'an Railway Administration's success in driving more than 10,000 cars since it launched the Central Asian International Freight Train in 2013.",
ifeng0812.news.49766281_0,853,O-61,结果，中国对外出口的石油产品品质逐渐达到与（世界最高品质的）日本相同的水平”。,"As a result, the quality of petroleum products exported from China is gradually reaching parity with those from Japan.""","As a Japan, China's of world's reached that level of result, same oil gradually the exports has quality the the as highest quality.",mt
peopledaily0812.health.c404177-28631549,1527,O-62,如果长时间熬夜，该激素仍会大量分泌，人体会持续处于紧张兴奋的状态，无法得到正常的恢复，容易引起血管收缩、血压升高，从而引起心血管疾病。,"For people staying up late into the night, the hormone will be secreted in large volumes, keeping one energized and in a state of alertness. However, such people won't be able to rest properly and are prone to vasoconstriction, increased blood pressure, and tendency to suffer from cardiovascular diseases.","If you stay up for a long time, the hormone will still be secreted in large quantities, the human experience continues to be in a state of tension and excitement, unable to get a normal recovery, easy to cause vasoconstriction, blood pressure rise, and thus cause cardiovascular disease.",
ifeng0812.news.49765262_0,640,O-63,“一个小布袋，握在手心，轻飘飘的一小撮，价值近百万元”，一名参与代购钻石的刘姓大妈，向内地传媒描述她今年六月在安特卫普的经历。,"""A small palm-sized cloth bag, light and airy, is worth nearly a million"", a lady surnamed Liu purchasing diamonds on behalf of another was describing her experience at Antwerp in June this year to domestic media.","""A small cloth bag, held in the palm of your hand, a light handful, worth nearly a million dollars,"" said a woman surnamed Liu, who was involved in the purchase of diamonds, describing her experience in Antwerp in June this year to the mainland media.",
ifeng0812.news.49765934_0,765,O-64,“这些天我们一直走正常程序，但我们可能忽略了运动员越多可能对水质的带来影响。”,"""We have been operating according to normal procedures these days, but we may have neglected the impact that more athletes may have on the quality of water.""","""We've been following normal procedures these days, but we may have overlooked the impact more athletes could have on water quality,"" he said.",
ifeng0812.news.49765726_0,747,O-65,主办方希望通过文物展，让当地人民更多地了解历史悠久的中国文化，从而增进两国人民之间的相互理解和友谊。,"The sponsors hoped that the exhibition of antiquities would allow the locals to better understand Chinese culture which has a long history, thereby increasing mutual understanding and friendship between the citizens of the two countries.","The organizers hope that through the cultural relics exhibition, the local people will learn more about the Chinese culture with a long history, so as to enhance mutual understanding and friendship between the two peoples.",
sina0812.news.doc-ifxuxhas1624320,1738,O-66,现年63岁的流浪者韩某与另一流浪汉肖某酒后发生争执，遂持刀将其扎死。,"Han, a 63-year old homeless individual, began arguing with Xiao, another homeless individual, and then drew a blade to stab the latter to death.","Rangers Han, 63, had a drunken argument with another tramp Xiao and stabbed him to death with a knife.",
ifeng0812.news.49765323_0,647,O-67,英国《卫报》评论称，瑞士这个中立国所代表的象征性在英国首相第一次度假地的选择上发挥了作用。,A comment in The Guardian claimed that the neutral symbolism of Switzerland has played a role in the UK Prime Minister's choice of her first holiday destination.,The Guardian has commented that the symbolism represented by Switzerland as a neutral country played a role in the choice of the British prime minister's first holiday destination.,
peopledaily0812.health.c404177-28631549,1531,O-68,在上届“世界杯”足球赛期间，韩志远曾接诊过一名60多岁的患者，其心肌梗塞的引发或与熬夜看比赛有关。,"During the previous ""FIFA World Cup"", Han Zhiyuan saw a patient in his sixties who suffered a heart attack for staying up late to watch the matches.","During the last World Cup, Han Zhiyuan had seen a patient in his 60s whose heart attack was triggered or related to staying up late to watch the game.",
xinhua0812..c_1119383791,1989,O-69,北京市社会团体管理办公室即日起将对社会团体会费统一收据使用情况开展专项检查。,"The Beijing Office for the Administration of Clubs, Associations and Societies will conduct a special investigation on the uniform invoices of membership dues of social organizations.","From now on, the Beijing Municipal Office for the Administration of Social Organizations will carry out a special inspection on the use of unified receipts for membership dues of social organizations.",
ifeng0812.news.49766667_0,880,O-70,久居阿联酋迪拜的印度人穆罕默德·巴希尔·阿卜杜勒·赫达尔每次回国都有买彩票的习惯。,"Muhammad Basheer Abdul Khadar, an Indian national and long-time resident in Dubai, UAE, expressed that he has a habit of buying a lottery ticket every time he goes home.","Mohammed Bashir Dubai, time a buying United in he has tickets every of habit Abdul resident Hedar, lottery a Arab longtime Indian Emirates, returns home.",mt
ifeng0812.news.49766281_0,855,O-71,尽管“日本高品油”正在面临危机，但日本油企采取的应对策略仅为“关注市场行情的同时向有利润可图的地区出口”。,"Although ""high quality oil from Japan"" is facing a crisis, the response strategy adopted by Japanese oil companies is limited to ""focusing on market situations and exporting to areas where a profit may be made"".","While Japan's facing responding Japanese oil the on to are crisis, by ""focusing oil only a while companies market exporting is high profitable areas"".",mt
ifeng0812.news.49767046_0,935,O-72,此次事件是加拿大总理贾斯廷·特鲁多（Justin Trudeau）去年上台后，警方首次在事发前击毙恐怖嫌疑人。,This is the first time that the police has killed a suspected terrorist before the terrorist attack after the Canadian Prime Minister Justin Trudeau assumed his office last year.,The incident was the first time police had shot a terror suspect before the incident after Canadian Prime Minister Justin Trudeau came to power last year.,
